name,score
Grenada,0.08277137400178973
Guadeloupe,-0.04187153144082028
Guam,0.4484398424069639
Guatemala,0.7527031381565793
Guernsey,0.1349450447618615
Guinea,0.6971862976430672
Guinea-Bissau,0.33318564207121903
Guyana,0.6090197571542774
Haiti,0.5954792828382399
Holy See,-0.15785515761499305
Honduras,0.7024580772974313
Hungary,0.3935031657873072
Iceland,0.5402564678220326
India,0.7762987649544009
Indonesia,0.8424509385819166
Iran (Islamic Republic of),0.7049880458863883
Iraq,0.7130517216626736
Ireland,0.587041818133688
Isle of Man,0.1695745791294186
Israel,0.3453329097453005
Italy,0.5121500018419017
Jamaica,0.7263373492049949
Japan,0.9132796609623745
Jersey,0.27815836136183697
Jordan,0.44628795869359017
Kazakhstan,0.7232081280430039
Kenya,0.8005909236577322
"Korea, Republic of",0.923607045733309
Kosovo,0.49320120078472074
Kuwait,0.47134548882623756
Kyrgyzstan,0.7632584038253009
Lao People's Democratic Republic,0.15731385275405532
Latvia,0.4422906581754491
Lebanon,0.4355163076916627
Lesotho,0.2327981911979449
Liberia,0.45129812913546313
Libya,0.5492546567588628
Liechtenstein,0.13138364723905835
Lithuania,0.31197652511271584
Luxembourg,0.1769637414717645
Madagascar,0.5396717919829082
Malawi,0.7197377520114487
Malaysia,0.803134677961806
Maldives,0.11019302939218027
Mali,0.7333112602711275
Malta,0.4881018891876966
Marshall Islands,0.0034612717183825728
Martinique,0.02887309135225885
Mauritania,0.4886147820552037
Mauritius,0.20909789861569722
Mayotte,-0.017951259436424356
Mexico,0.7642790181164054
"Moldova, Republic of",0.5058440028312664
Monaco,0.2617058342130543
Mongolia,0.4566265430630345
Montenegro,-0.11893857696640728
Montserrat,0.002317736746830057
Morocco,0.7965617943237993
Mozambique,0.7585943802641663
Myanmar,0.713040918306328
Namibia,0.5642466762368847
Nepal,0.6920096211764292
Netherlands,0.35923057497102207
New Caledonia,0.10136996661457288
New Zealand,0.6516342578708267
Nicaragua,0.12997374963232095
Niger,0.5130132923552994
Nigeria,0.8008868950621979
North Macedonia,0.44523734766987433
Northern Mariana Islands,0.16568459772849925
Norway,0.5459087339984898
Oman,0.4499194481864361
Pakistan,0.851692652858307
"Palestine, State of",0.4615414854063492
Panama,0.36467588594631584
Papua New Guinea,0.405583237805902
Paraguay,0.5492618253083302
Peru,0.5243106970219052
Philippines,0.8190334622571933
Poland,0.4557557152018722
Portugal,0.41344592271278163
Puerto Rico,0.5688463829371788
Qatar,0.4558168016038939
Romania,0.574215896497148
Russian Federation,0.6702420232967005
Rwanda,0.7633840260748312
Réunion,0.27289065534350726
Saba,-0.008755446631001336
Saint Barthélemy,-0.4755104415019923
Saint Kitts and Nevis,0.0726836014437524
Saint Lucia,0.22394097946929023
Saint Martin (French part),-0.15940436055345622
Saint Pierre and Miquelon,0.011579307897862245
Saint Vincent and the Grenadines,0.21834848953069466
Samoa,0.001904603932917176
San Marino,-0.3668322240688417
Sao Tome and Principe,0.3598239650248748
Saudi Arabia,0.8033170829802951
Senegal,0.8085357511169609
Serbia,0.29420916562281035
Seychelles,-0.4002752858250466
Sierra Leone,0.6530821701348978
Singapore,0.8936277948440157
Sint Eustatius,-0.010739961592685648
Sint Maarten (Dutch part),0.11549099693497336
Slovakia,0.4562022510415183
Slovenia,0.1715096927733152
Solomon Islands,0.02066584907955969
Somalia,0.39969259322099776
South Africa,0.7081656547467533
South Sudan,0.45782653790909505
Spain,0.465824150377619
Sri Lanka,0.7882911439097162
Sudan,0.6816216113377969
Suriname,0.5505576135682209
Sweden,0.3076616008629086
Switzerland,0.4484775807521408
Syrian Arab Republic,0.7256235127232813
Tajikistan,0.47789606998701156
"Tanzania, United Republic of",0.04353880006502139
Thailand,0.8677374710882881
Timor-Leste,0.23618807731207664
Togo,0.6488260870682033
Trinidad and Tobago,0.5488173193082256
Tunisia,0.6328159783709287
Turkey,0.5155721990005587
Turks and Caicos Islands,0.06756395988798292
Uganda,0.7096179949616322
